model,intent,clarification,recommendation,cart,grounding,total
Qwen3.5-122B-A10B,1.00,0.79,0.99,1.00,0.99,4.77
Qwen3.5-35B-A3B,0.99,0.80,0.98,1.00,1.00,4.77
Qwen3.5-27B,1.00,0.78,0.98,1.00,1.00,4.76
Kimi-K2.5,1.00,0.81,0.96,0.99,0.96,4.72
Gemma-4-31B,0.99,0.80,0.96,1.00,0.96,4.71
Kimi-K2.6,1.00,0.77,0.98,0.96,0.99,4.70
Gemma-4-26B-A4B (SiliconFlow),0.98,0.84,0.96,0.99,0.88,4.65
gpt-oss-120B,0.99,0.70,0.98,0.99,0.98,4.64
Gemma-4-26B-A4B (self-hosted),0.97,0.82,0.94,0.98,0.88,4.59
gpt-oss-20B,0.99,0.78,0.94,0.95,0.90,4.56
Qwen3-32B,0.92,0.68,0.81,0.91,0.83,4.15
Qwen3-30B-A3B,0.90,0.60,0.63,0.88,0.51,3.52
